seed,policy,k_policy,aggregation,overall_accuracy,pure_accuracy,mixed_accuracy,mean_flops,active_experts,composition_entropy,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC,strategy,lambda,p_k1,p_k2,p_k3,k_entropy
23,Adaptive k (Entropy-Based),,,0.6154761910438538,0.6722222169240316,0.5729166641831398,33490.30952380953,1.3345238095238094,1.6454393018468545,1.0,0.5166666507720947,0.5,0.7250000238418579,0.5166666507720947,0.4833333194255829,0.5666666626930237,entropy,0.0,0.7773809523809524,0.11071428571428571,0.11190476190476191,0.9875355092844986
23,Adaptive k (Margin-Based),,,0.6119047403335571,0.6638888915379842,0.5729166641831398,30896.533333333333,1.161904761904762,1.57359361336481,1.0,0.49166667461395264,0.5,0.7250000238418579,0.5166666507720947,0.4833333194255829,0.5666666626930237,margin,0.0,0.8797619047619047,0.07857142857142857,0.041666666666666664,0.6419787355414354
23,Random Composition (Control A6),,,0.6214285492897034,0.6777777870496114,0.5791666731238365,53125.038095238095,2.0238095238095237,3.763261721072245,0.6666666865348816,0.5583333373069763,0.8083333373069763,0.675000011920929,0.5,0.46666666865348816,0.675000011920929,random,0.0,0.32857142857142857,0.319047619047619,0.3523809523809524,1.5836945065475194
37,k=1 Baseline (Phase 8B),fixed_k=1,uniform,0.5071428418159485,0.5138888756434122,0.5020833387970924,40419.171428571426,1.0,0.181082412827629,0.5,0.5166666507720947,0.5249999761581421,0.4583333432674408,0.4833333194255829,0.4583333432674408,0.6083333492279053,,,,,,
37,Fixed k=2 (Uniform C1),fixed_k=2,uniform,0.6607142686843872,0.7222222089767456,0.6145833134651184,81141.22857142857,2.0,0.5947417852065023,0.574999988079071,0.5916666388511658,1.0,0.5916666388511658,0.5916666388511658,0.5,0.7749999761581421,,,,,,
37,Fixed k=2 (Weighted C2),fixed_k=2,weighted,0.6607142686843872,0.7222222089767456,0.6145833134651184,81141.22857142857,2.0,0.5947417852065023,0.574999988079071,0.5916666388511658,1.0,0.5916666388511658,0.5916666388511658,0.5,0.7749999761581421,,,,,,
37,Fixed k=2 (Normalized C3),fixed_k=2,normalized,0.6607142686843872,0.7222222089767456,0.6145833134651184,81141.22857142857,2.0,0.5947417852065023,0.574999988079071,0.5916666388511658,1.0,0.5916666388511658,0.5916666388511658,0.5,0.7749999761581421,,,,,,
37,Fixed k=3,fixed_k=3,uniform,0.6940476298332214,0.7722222208976746,0.6354166567325592,91853.17142857143,3.0,1.2873474245755356,0.75,0.5666666626930237,1.0,0.675000011920929,0.5916666388511658,0.5,0.7749999761581421,,,,,,
37,Fixed k=3 (Weighted),fixed_k=3,weighted,0.6940476298332214,0.7722222208976746,0.6354166567325592,91853.17142857143,3.0,1.2873474245755356,0.75,0.5666666626930237,1.0,0.675000011920929,0.5916666388511658,0.5,0.7749999761581421,,,,,,
37,Sequential Graph->MLP,sequential_k=2,sequential_chain,0.5047619342803955,0.4666666587193807,0.5333333313465118,17040.0,2.0,0.0,0.5,0.4166666567325592,0.4833333194255829,0.5416666865348816,0.574999988079071,0.5249999761581421,0.49166667461395264,,,,,,
