seed,condition,combination,F,R,C,FR,RC,FC,FRC
37,depth2,R,1.0,0.6833333373069763,0.9166666865348816,0.8083333373069763,0.5916666388511658,0.4833333194255829,0.7333333492279053
37,depth2,C,0.9916666746139526,0.5666666626930237,1.0,0.7833333611488342,0.5833333134651184,0.49166667461395264,0.7749999761581421
37,depth2,F+R,1.0,0.6666666865348816,0.9083333611488342,0.8166666626930237,0.5666666626930237,0.5,0.7333333492279053
37,depth2,R+C,1.0,0.6333333253860474,0.9916666746139526,0.8083333373069763,0.5833333134651184,0.49166667461395264,0.7749999761581421
37,depth2,F+C,1.0,0.574999988079071,1.0,0.8166666626930237,0.5833333134651184,0.49166667461395264,0.7749999761581421
37,depth2,F+R+C,1.0,0.6666666865348816,0.9916666746139526,0.8083333373069763,0.574999988079071,0.49166667461395264,0.7749999761581421
37,depth3,F,1.0,0.625,0.7916666865348816,0.8083333373069763,0.5166666507720947,0.5,0.675000011920929
37,depth3,R,1.0,0.675000011920929,0.8416666388511658,0.800000011920929,0.5666666626930237,0.46666666865348816,0.699999988079071
37,depth3,C,1.0,0.5916666388511658,0.9916666746139526,0.8166666626930237,0.5833333134651184,0.5,0.7666666507720947
37,depth3,F+R,1.0,0.675000011920929,0.8333333134651184,0.8166666626930237,0.5583333373069763,0.4833333194255829,0.699999988079071
37,depth3,R+C,1.0,0.6416666507720947,0.9916666746139526,0.7916666865348816,0.5916666388511658,0.5,0.7666666507720947
37,depth3,F+C,1.0,0.6000000238418579,0.9916666746139526,0.8083333373069763,0.5916666388511658,0.5,0.7666666507720947
37,depth3,F+R+C,1.0,0.6416666507720947,0.9916666746139526,0.8166666626930237,0.5833333134651184,0.5,0.7666666507720947
37,agg_sum,F,0.75,0.5083333253860474,0.9583333134651184,0.7416666746139526,0.5833333134651184,0.5,0.7416666746139526
37,agg_sum,R,1.0,0.6000000238418579,0.9166666865348816,0.75,0.5083333253860474,0.5,0.6916666626930237
37,agg_sum,C,0.75,0.5,0.9833333492279053,0.7333333492279053,0.5833333134651184,0.4833333194255829,0.7583333253860474
37,agg_sum,F+R,1.0,0.5833333134651184,0.9166666865348816,0.824999988079071,0.550000011920929,0.5,0.7166666388511658
37,agg_sum,R+C,1.0,0.6416666507720947,0.9833333492279053,0.800000011920929,0.5833333134651184,0.49166667461395264,0.7583333253860474
37,agg_sum,F+C,0.75,0.5,0.9833333492279053,0.75,0.574999988079071,0.4833333194255829,0.7583333253860474
37,agg_sum,F+R+C,1.0,0.6166666746139526,0.9833333492279053,0.8333333134651184,0.5833333134651184,0.49166667461395264,0.7666666507720947
37,agg_max,F,1.0,0.6499999761581421,0.7916666865348816,0.800000011920929,0.5333333611488342,0.4833333194255829,0.675000011920929
37,agg_max,R,1.0,0.6416666507720947,0.800000011920929,0.800000011920929,0.574999988079071,0.49166667461395264,0.6666666865348816
37,agg_max,C,1.0,0.5416666865348816,0.9916666746139526,0.7833333611488342,0.574999988079071,0.5083333253860474,0.7749999761581421
37,agg_max,F+R,1.0,0.6499999761581421,0.7916666865348816,0.800000011920929,0.550000011920929,0.49166667461395264,0.6666666865348816
